tiempo_min,compuesto,area_pico,temperatura_C,rpm
0,TG,19123.4,65,300
0,MeOH,92341.5,65,300
0,FAME,0.0,65,300
0,GL,0.0,65,300
0,Estandar,50000.0,65,300
30,TG,9945.3,65,400
30,MeOH,78234.6,65,400
30,FAME,26745.8,65,400
30,GL,2567.3,65,400
30,Estandar,50000.0,65,400
60,TG,5123.7,65,500
60,MeOH,66345.2,65,500
60,FAME,39567.4,65,500
60,GL,4234.5,65,500
60,Estandar,50000.0,65,500
90,TG,2945.8,65,500
90,MeOH,58456.7,65,500
90,FAME,45234.6,65,500
90,GL,5345.2,65,500
90,Estandar,50000.0,65,500
120,TG,1789.2,65,400
120,MeOH,53234.8,65,400
120,FAME,48123.7,65,400
120,GL,5867.4,65,400
120,Estandar,50000.0,65,400
